EmployeeNumber,JobSatisfaction,EnvironmentSatisfaction,WorkLifeBalance,RelationshipSatisfaction
514,4,3,3,3
515,1,4,2,3
516,2,4,3,3
517,1,2,3,2
518,2,3,2,4
520,2,1,3,3
521,3,2,3,2
522,1,1,2,3
523,3,3,3,1
524,1,2,1,2
525,4,4,3,1
526,3,3,3,4
527,4,2,3,2
529,3,2,3,1
530,1,4,3,3
531,3,2,3,3
532,1,3,2,4
533,3,2,3,2
534,1,2,3,3
536,1,3,3,4
538,1,1,3,3
543,3,4,3,3
544,4,1,2,4
546,4,4,1,4
547,3,1,3,2
548,4,3,3,3
549,1,1,1,4
550,3,3,2,3
551,4,4,4,4
554,2,1,3,2
555,3,4,2,4
556,4,4,3,3
558,3,3,3,4
560,4,1,1,2
562,4,3,1,3
564,3,2,3,3
565,2,3,4,2
566,4,1,4,3
567,1,3,3,3
568,4,1,2,3
569,3,2,3,2
571,4,3,2,3
573,1,3,4,4
574,4,1,3,3
575,3,1,1,3
577,3,4,3,3
578,3,3,3,3
579,3,4,3,3
580,4,3,3,3
581,2,3,4,4
582,3,2,4,4
584,4,1,3,1
585,2,4,3,1
586,3,4,3,3
587,3,1,3,1
590,1,2,3,3
591,3,2,3,4
592,4,2,2,4
593,3,3,3,3
595,4,2,3,1
597,2,1,3,4
599,4,4,3,4
600,3,2,3,3
601,3,2,3,3
602,3,3,3,1
604,4,2,4,3
605,1,4,2,4
606,2,4,4,2
608,3,2,2,2
611,4,4,4,2
612,3,1,3,3
613,4,3,2,3
614,2,2,3,4
615,1,3,3,3
616,3,1,3,1
618,3,1,3,1
620,3,1,3,4
621,4,4,3,4
622,4,3,1,2
623,4,2,4,4
624,3,1,2,4
625,1,2,3,2
626,2,1,3,4
630,1,4,3,2
631,3,4,3,4
632,4,4,3,3
634,3,3,3,3
635,2,2,2,2
638,3,4,3,3
639,4,2,3,2
641,2,1,4,4
643,2,4,3,4
644,2,1,3,3
645,3,2,3,3
647,3,1,3,4
648,1,2,4,3
649,4,2,3,4
650,1,2,1,3
652,4,1,3,4
653,4,1,4,4
655,3,1,2,3
656,3,4,2,3
657,2,4,4,4
659,4,3,3,2
661,4,2,2,3
662,1,3,2,4
663,3,4,3,2
664,1,4,1,1
665,3,1,4,2
666,3,3,3,4
667,1,3,3,2
669,3,3,3,3
671,4,4,4,1
675,3,1,3,4
677,3,3,3,4
679,4,1,2,4
680,3,3,3,3
682,1,4,4,4
683,4,2,2,4
684,1,1,3,4
686,4,3,3,3
689,3,3,3,3
690,3,2,2,1
691,4,2,3,2
692,4,3,1,3
698,2,3,4,3
699,2,2,3,3
700,4,1,3,4
701,3,4,3,4
702,1,1,3,1
704,3,3,3,3
705,1,1,4,1
707,2,4,3,3
709,4,4,3,1
710,4,2,3,4
712,2,2,3,4
714,4,4,3,2
715,4,4,3,1
716,3,4,3,3
717,2,4,4,2
720,3,1,3,1
721,3,4,3,1
722,4,4,2,4
723,3,2,3,1
724,4,2,2,3
725,1,3,3,4
727,4,3,3,4
728,1,4,3,4
729,1,4,3,3
730,3,3,3,3
731,4,2,2,2
732,1,1,3,4
733,1,4,2,3
734,3,4,3,2
738,2,4,3,4
741,2,1,3,4
742,1,1,3,1
743,3,3,4,4
744,3,1,3,3
746,3,4,2,4
747,4,3,2,4
749,3,3,3,3
752,3,3,3,4
754,4,4,3,3
757,3,2,3,4
758,1,2,4,4
760,2,3,1,3
762,4,3,2,3
763,4,4,2,4
764,1,4,1,1
766,2,4,3,4
769,4,4,3,4
771,1,4,4,1
772,4,1,3,4
773,3,4,1,2
775,1,2,3,3
776,1,3,4,1
780,4,4,2,3
781,4,3,2,2
783,3,2,3,1
784,3,1,3,4
785,3,2,3,4
786,4,4,3,3
787,1,4,3,4
789,1,1,3,2
791,4,4,3,1
792,4,1,3,1
793,3,2,2,1
796,1,4,2,3
797,4,2,3,3
799,1,4,3,2
800,4,3,3,2
802,1,4,2,2
803,1,1,3,4
804,1,3,3,3
805,4,1,2,2
806,3,4,3,3
807,2,3,3,4
808,1,3,3,2
809,4,2,2,2
811,1,3,3,3
812,2,3,3,3
813,3,4,3,2
815,3,3,3,4
816,1,2,3,4
817,3,3,4,4
819,1,1,3,3
820,4,3,2,3
823,2,3,3,1
824,3,3,3,3
825,2,4,3,4
826,3,4,3,3
827,4,4,3,4
828,3,3,2,4
829,2,3,3,2
830,3,3,3,3
832,3,1,3,4
833,4,3,2,2
834,3,2,3,4
836,2,2,2,4
837,1,1,2,3
838,4,3,3,3
840,4,3,4,1
842,4,3,2,3
843,1,2,3,3
844,4,3,3,2
845,3,3,4,2
846,2,2,3,1
847,4,3,1,3
848,3,3,3,1
850,4,4,2,3
851,3,1,2,3
852,2,4,2,4
854,1,1,2,3
855,1,1,3,1
856,1,3,2,4
857,4,2,2,4
859,4,2,2,3
861,4,2,2,2
862,4,1,3,4
864,1,4,3,3
865,3,3,2,3
867,4,3,3,3
868,3,4,3,4
869,4,2,3,4
872,4,4,1,1
874,4,1,2,3
875,4,2,3,4
878,1,1,3,3
879,1,3,3,4
880,3,4,3,2
881,2,4,2,1
882,4,4,3,2
885,1,3,4,1
887,1,3,3,2
888,4,1,2,4
889,2,2,3,4
893,2,2,3,4
894,4,3,2,2
895,4,4,3,2
896,3,2,3,3
897,4,1,3,3
899,2,4,3,1
900,4,3,3,2
901,4,4,3,3
902,4,4,2,2
903,4,3,3,1
904,2,1,3,4
905,1,1,3,4
909,4,4,3,3
910,2,4,4,3
911,4,1,1,3
912,4,1,3,3
913,1,2,3,4
916,4,1,3,2
918,4,4,2,4
920,2,1,4,3
922,3,3,2,4
923,4,4,2,1
924,4,3,2,1
925,4,4,2,1
926,3,2,4,1
927,4,2,2,3
930,3,3,3,2
932,1,4,1,4
933,3,2,3,3
934,2,2,3,2
936,3,3,3,1
939,1,3,3,2
940,2,3,3,4
941,3,2,4,2
942,4,4,1,4
944,2,1,2,3
945,3,4,2,1
947,3,4,2,4
949,4,2,3,3
950,1,4,3,2
951,2,3,3,3
952,2,3,3,3
954,2,1,2,2
956,1,3,3,2
957,1,4,3,3
958,3,3,3,3
959,2,4,4,2
960,1,1,3,2
961,4,4,1,3
964,2,4,3,4
966,1,3,4,3
967,4,3,3,1
969,4,2,3,1
970,3,1,1,3
972,2,3,2,2
974,4,3,3,2
975,3,3,3,2
976,4,4,2,2
977,3,4,3,1
981,3,3,4,3
982,3,3,4,1
983,4,3,3,2
984,4,4,3,2
985,3,1,3,4
986,2,2,2,4
987,3,3,4,3
990,4,1,3,4
991,1,3,3,1
992,3,4,3,4
994,1,4,3,3
995,4,2,3,1
996,4,4,3,4
997,4,4,2,3
998,2,3,3,1
999,3,1,4,2
1001,2,3,3,2
1002,1,4,3,3
1003,4,4,3,3
1004,3,1,3,2
1005,3,4,3,4
1006,3,3,2,2
1007,3,4,3,2
1009,3,4,3,2
1010,2,3,1,4
1011,1,3,3,3
1012,4,2,3,4
1013,3,3,3,3
1014,3,3,2,3
1015,1,2,2,3
1016,1,4,3,1
1017,2,2,3,1
1018,4,4,3,2
1019,1,2,2,1
1022,3,1,3,4
1024,3,3,3,2
1025,3,4,3,2
1026,4,4,3,3
1027,4,1,3,2
1028,4,2,2,1
1029,3,4,4,2
1030,4,1,3,2
1032,4,3,3,1
1033,2,1,1,1
1034,2,3,3,4
1035,3,2,3,2
1036,4,2,3,3
1037,1,2,3,4
1038,4,1,3,4
1039,4,4,3,3
1040,3,4,3,1
1042,1,3,3,3
1043,1,4,3,3
1044,4,2,2,4
1045,4,4,4,2
1046,3,4,3,2
1047,4,2,2,4
1048,4,2,1,3
1049,2,2,3,1
1050,2,3,3,1
1052,3,1,2,2
1053,1,1,3,2
1055,3,3,3,4
1056,2,4,3,2
1060,3,3,3,1
1061,3,2,2,4
1062,2,4,2,1
1066,1,3,2,2
1068,3,1,3,3
1069,4,4,3,4
1070,3,3,3,2
1071,3,1,3,2
1073,4,4,2,2
1074,1,3,4,2
1076,4,3,3,3
1077,4,4,3,2
1079,1,3,2,1
1080,1,4,3,1
1081,3,1,4,3
1082,1,2,2,1
1083,1,1,3,1
1084,1,3,2,3
1085,3,2,3,3
1088,3,3,2,1
1092,4,1,3,4
1094,3,1,3,4
1096,2,4,3,2
1097,3,3,4,4
1098,1,2,3,4
1099,4,4,3,3
1100,1,4,3,1
1101,3,1,3,2
1102,3,1,2,4
1103,4,1,2,3
1105,4,4,3,3
1106,4,4,4,2
1107,3,1,2,3
1108,2,1,3,2
1109,1,4,3,4
1111,2,1,3,1
1113,3,4,3,4
1114,2,4,3,3
1115,4,3,3,4
1116,4,1,2,3
1117,3,2,3,4
1118,2,2,3,4
1119,3,3,3,2
1120,4,3,3,1
1121,2,4,2,2
1124,3,1,3,4
1125,2,4,3,3
1126,1,3,3,3
1127,4,1,3,4
1128,3,3,4,1
1131,2,4,4,3
1132,2,3,2,3
1133,4,1,3,1
1135,4,3,3,1
1136,2,1,1,1
1137,4,4,3,4
1138,2,4,3,2
1140,3,4,2,4
1143,2,4,2,4
1148,4,2,3,1
1150,4,2,2,3
1152,3,3,4,4
1154,3,3,3,4
1156,3,3,3,4
1157,1,1,3,1
1158,4,2,3,1
1160,3,3,2,3
1161,4,3,3,3
1162,3,4,3,3
1163,3,2,2,1
1164,3,3,1,2
1165,1,4,1,1
1166,3,2,2,3
1167,1,3,2,2
1171,1,2,4,4
1172,3,4,3,2
1173,2,4,3,4
1175,4,3,2,4
1177,4,1,3,2
1179,3,3,3,1
1180,4,3,1,4
1182,2,3,4,2
1184,1,4,3,3
1185,4,4,4,2
1188,3,1,2,2
1190,1,3,3,3
1191,1,4,3,4
1192,4,2,3,1
1193,1,3,3,3
1195,3,1,2,3
1196,4,4,2,2
1198,3,1,2,1
1200,3,3,3,3
1201,3,4,3,2
1202,4,2,2,1
1203,4,3,3,2
1204,1,3,3,1
1206,3,4,3,4
1207,3,2,3,4
1210,1,1,1,1
1211,1,3,3,3
1212,2,2,3,4
1215,1,4,3,3
1216,1,4,3,3
1217,2,4,3,1
1218,1,3,3,4
1219,2,4,1,1
1220,3,2,2,1
1221,3,3,3,3
1224,3,3,2,1
1225,4,4,3,2
1226,4,3,3,4
1228,4,4,2,3
1231,1,4,4,1
1233,4,2,3,2
1234,2,3,3,3
1235,3,4,3,4
1237,1,3,3,3
1238,4,1,3,2
1239,2,2,4,2
1240,4,3,3,2
1241,2,4,3,1
1242,1,1,3,3
1243,4,3,2,2
1244,1,1,2,4
1245,3,4,1,1
1246,4,1,3,4
1248,2,1,4,2
1249,4,1,3,1
1250,4,4,3,1
1251,1,3,2,4
1252,1,3,3,2
1254,4,3,3,4
1255,4,3,3,2
1256,3,1,4,3
1257,2,3,2,3
1258,2,4,2,3
1259,3,1,3,2
1260,4,3,3,2
1263,4,4,4,3
1264,4,4,2,2
1265,3,3,2,4
1267,2,2,3,3
1268,3,4,3,4
1269,4,2,3,4
1270,3,4,3,4
1273,4,3,3,4
1275,4,3,2,2
1277,2,1,3,1
1278,2,4,3,4
1279,3,1,1,3
1280,2,4,3,3
1281,1,3,3,4
1282,2,4,2,1
1283,4,4,2,4
1285,2,3,4,3
1286,3,4,2,3
1288,1,3,2,4
1289,2,3,4,4
1291,3,3,3,4
1292,2,2,3,4
1293,4,4,4,4
1294,2,3,3,4
1295,4,1,3,4
1296,4,4,3,2
1297,3,2,2,2
1298,3,3,3,3
1299,3,2,3,1
1301,1,4,2,2
1303,2,4,2,4
1304,4,3,4,3
1306,2,2,3,3
1307,2,3,3,4
1308,3,1,3,4
1309,3,4,3,1
1310,1,3,3,1
1311,4,1,3,1
1312,3,4,3,1
1314,1,4,4,3
1315,4,3,3,1
1317,1,4,3,2
1318,2,4,3,3
1319,2,2,2,3
1321,1,2,3,4
1322,3,1,3,1
1324,3,4,2,1
1329,2,3,3,1
1331,2,4,4,1
1333,1,1,4,3
1334,3,3,2,4
1336,3,4,3,4
1338,2,4,3,1
1340,3,3,3,2
1344,4,4,2,4
1346,4,3,3,3
1349,1,3,3,4
1350,3,3,3,2
1352,2,3,3,2
1355,1,2,3,4
1356,1,3,4,4
1358,4,4,2,3
1360,1,3,2,4
1361,2,2,3,3
1362,1,1,2,4
1363,4,4,3,3
1364,4,3,3,2
1367,2,4,2,2
1368,4,4,4,3
1369,4,4,3,2
1371,4,4,3,2
1372,3,1,2,3
1373,2,4,3,1
1374,3,1,3,3
1375,3,2,3,2
1377,3,2,3,1
1379,4,3,4,3
1380,3,4,2,3
1382,3,4,3,4
1383,4,3,4,4
1387,1,3,3,3
1389,3,4,2,4
1390,4,1,4,4
1391,2,2,3,2
1392,4,4,2,1
1394,3,3,3,4
1395,4,2,4,1
1396,2,3,2,1
1397,3,3,3,2
1399,3,1,2,2
1401,3,4,2,2
1402,3,1,1,1
1403,4,4,3,4
1405,3,4,3,4
1407,4,1,3,4
1408,1,3,3,3
1409,1,3,1,3
1411,3,1,3,1
1412,4,3,3,3
1415,4,1,2,2
1417,1,3,3,4
1419,1,2,2,1
1420,1,1,3,1
1421,4,3,3,1
1422,4,4,2,4
1423,1,4,3,3
1424,4,2,4,4
1425,2,1,3,4
1427,3,2,3,2
1428,1,4,3,2
1430,2,1,4,3
1431,1,4,3,3
1433,2,1,4,3
1434,1,2,4,2
1435,4,1,2,3
1436,1,3,2,1
1438,4,1,2,3
1439,1,1,3,1
1440,3,3,1,1
1441,1,1,4,4
1443,3,1,4,2
1445,3,4,3,3
1446,4,4,2,3
1447,2,4,2,1
1448,3,2,2,1
1449,3,3,4,3
1453,4,1,3,1
1457,4,1,4,1
1458,1,1,4,2
1459,2,3,3,1
1460,1,2,3,2
1461,2,4,3,4
1464,4,2,1,3
1465,4,2,4,4
1466,1,3,3,1
1467,3,1,3,4
1468,2,4,3,3
1469,1,4,3,4
1471,3,3,3,4
1472,2,4,2,2
1473,3,1,2,2
1474,3,3,4,3
1475,2,4,2,3
1477,1,4,3,1
1478,1,4,3,4
1479,3,4,2,3
1480,4,1,3,3
1481,3,1,2,3
1482,3,3,2,2
1483,3,2,2,1
1484,2,3,3,2
1485,1,2,2,4
1486,3,1,4,4
1487,2,1,1,1
1489,2,1,4,3
1492,3,4,3,1
1494,1,2,2,3
1495,2,4,3,3
1496,3,2,2,2
1497,3,3,3,3
1499,3,3,4,1
1501,3,4,3,2
1502,2,1,3,4
1503,3,3,2,3
1504,1,3,2,3
1506,3,1,1,4
1507,1,3,3,4
1509,1,3,3,1
1513,2,4,3,3
1514,2,3,2,2
1515,3,4,3,1
1516,4,3,4,2
1520,4,2,3,1
1522,1,1,1,3
1523,1,4,4,3
1525,2,2,3,4
1527,2,3,4,4
1529,2,4,1,4
1533,3,1,3,2
1534,1,4,1,2
1535,3,4,3,4
1537,3,4,1,1
1539,4,3,3,4
1541,3,2,3,2
1542,2,3,3,2
1543,4,1,3,1
1544,1,3,3,3
1545,2,4,3,4
1546,4,4,3,4
1547,4,4,1,3
1548,1,1,4,4
1549,3,2,3,2
1550,4,3,3,4
1551,1,3,3,2
1552,4,4,3,3
1553,2,1,3,1
1554,3,2,3,1
1555,2,4,3,1
1556,4,3,2,4
1557,3,3,3,3
1558,3,3,2,1
1560,1,1,1,4
1562,1,2,3,4
1563,3,3,3,3
1564,1,4,3,2
1568,2,3,3,2
1569,1,1,3,4
1572,4,3,3,2
1573,2,3,3,1
1574,1,4,2,2
1576,1,3,2,4
1577,4,1,1,3
1578,4,3,3,3
1580,4,2,2,2
1581,4,1,3,1
1582,2,3,3,4
1583,2,2,4,2
1585,3,2,3,1
1586,1,2,3,4
1587,3,1,3,3
1588,3,4,3,1
1590,4,1,4,4
1591,3,3,3,3
1592,3,4,3,4
1594,1,1,3,4
1595,4,4,3,4
1596,3,2,2,4
1597,3,4,2,2
1598,1,4,3,3
1599,2,4,3,3
1601,4,3,2,4
1602,1,4,1,2
1604,2,3,3,3
1605,3,2,2,2
1606,3,2,3,3
1607,4,2,3,4
1608,4,2,2,4
1609,2,2,2,2
1611,1,3,3,1
1612,1,1,3,1
1613,1,4,3,4
1614,3,3,3,2
1615,4,3,3,1
1617,1,3,2,4
1618,1,2,3,4
1619,1,4,3,1
1621,1,2,3,4
1622,1,2,2,2
1623,4,3,3,3
1624,4,2,4,3
1625,3,4,3,3
1627,3,3,3,4
1628,3,1,3,4
1630,3,3,3,4
1631,3,3,2,1
1633,3,1,1,4
1635,4,4,3,1
1638,3,4,4,4
1639,1,4,3,3
1640,2,2,1,1
1641,4,3,2,4
1642,4,1,3,3
1644,4,3,3,2
1645,4,1,2,4
1646,4,1,3,3
1647,3,2,3,1
1648,4,4,2,3
1649,1,1,1,2
1650,3,3,3,3
1651,1,2,3,3
1653,3,4,3,3
1654,2,4,3,3
1655,2,1,3,2
1656,1,4,3,3
1657,3,3,3,1
1658,2,4,3,3
1659,2,1,3,3
1661,3,3,3,2
1662,3,4,3,3
1664,1,4,3,1
1665,3,2,3,3
1666,3,3,3,1
1667,4,4,4,1
1668,4,4,4,4
1669,2,1,2,2
1670,4,4,3,3
1671,2,4,2,3
1673,4,1,3,1
1674,1,4,2,2
1675,2,4,3,2
1676,2,2,3,3
1677,3,3,3,1
1678,3,4,3,4
1680,1,4,3,1
1681,4,3,3,3
1682,3,1,2,2
1683,4,3,3,1
1684,3,4,3,1
1687,3,4,2,4
1689,4,2,3,3
1691,3,4,3,3
1692,2,4,3,1
1693,4,4,3,3
1694,2,1,3,4
1696,4,2,4,3
1697,4,3,4,3
1698,2,2,3,4
1700,4,3,2,3
1701,4,2,3,2
1702,4,3,3,2
1703,4,3,3,2
1704,4,1,4,3
1706,4,4,3,1
1707,3,3,3,4
1708,3,4,3,2
1709,3,4,3,3
1710,4,3,2,3
1712,3,3,2,4
1714,3,4,3,3
1716,3,3,1,3
1718,3,4,4,3
1719,2,4,3,3
1720,3,1,2,1
1721,3,2,4,4
1722,2,3,3,2
1724,1,2,3,2
1725,1,2,4,2
1727,2,3,3,4
1728,3,4,3,2
1729,4,2,2,2
1731,2,3,1,4
1732,4,3,2,2
1733,1,2,3,2
1734,2,1,3,2
1735,2,3,1,3
1736,4,4,2,4
1737,4,4,3,4
1739,3,4,1,3
1740,2,2,2,2
1744,3,3,4,3
1745,1,4,3,4
1746,4,1,3,4
1747,4,3,2,3
1749,3,1,3,3
1751,4,3,2,3
1752,2,2,3,3
1753,3,4,4,4
1754,1,3,3,1
1755,4,4,3,1
1756,2,4,2,4
1757,4,4,4,3
1758,1,1,2,3
1760,2,3,2,2
1761,3,1,3,1
1762,1,4,3,3
1763,3,3,3,3
1764,2,2,3,2
1766,4,2,3,3
1767,3,3,3,4
1768,2,2,2,2
1770,1,3,3,2
1771,2,4,2,4
1772,1,3,3,2
1774,3,4,3,3
1775,3,1,2,4
1778,4,2,3,2
1779,4,4,3,1
1780,2,2,3,2
1782,3,4,3,2
1783,1,3,3,3
1784,4,1,3,1
1786,3,1,3,4
1787,2,2,3,1
1789,4,3,3,3
1790,1,4,3,4
1792,2,3,2,3
1794,2,3,2,3
1797,4,3,3,4
1798,1,4,3,2
1799,4,3,4,3
1800,3,3,3,3
1801,2,2,3,3
1802,1,3,2,4
1803,1,2,2,3
1804,4,2,3,3
1805,2,1,3,4
1807,1,4,2,3
1809,1,4,1,2
1812,4,3,3,4
1813,3,1,2,3
1814,2,2,1,1
1815,3,3,4,4
1816,3,1,3,2
1818,2,4,3,3
1821,2,4,4,4
1822,4,3,3,4
1823,3,2,3,3
1824,2,2,2,4
1826,3,2,4,2
1827,2,3,3,3
1829,1,2,3,2
1830,4,4,2,2
1833,1,1,3,4
1834,1,3,3,3
1835,4,2,2,1
1836,4,3,3,1
1837,3,1,3,2
1839,3,2,1,3
1842,1,4,3,3
1844,1,1,3,4
1845,3,3,4,2
1847,2,4,3,4
1849,4,1,3,3
1850,4,4,2,3
1852,4,4,4,2
1853,4,4,4,3
1854,3,3,2,2
1856,3,2,3,3
1857,4,4,2,3
1858,4,3,3,2
1859,3,4,3,4
1860,3,4,3,4
1862,2,3,2,3
1863,1,1,3,4
