EmployeeNumber,Age,Gender,MaritalStatus,Department,JobRole,JobLevel,MonthlyIncome,DistanceFromHome,YearsAtCompany,TotalWorkingYears,Attrition
170,49,Female,Married,Research & Development,Manufacturing Director,2,6567,20,15,16,No
171,43,Female,Single,Research & Development,Research Scientist,1,4739,28,3,18,No
174,50,Female,Single,Sales,Sales Executive,3,9208,12,2,16,No
175,31,Female,Married,Sales,Sales Executive,2,4559,20,2,4,Yes
176,41,Male,Divorced,Sales,Sales Executive,3,8189,9,9,12,No
177,26,Female,Married,Human Resources,Human Resources,1,2942,25,8,8,No
178,36,Male,Divorced,Research & Development,Manufacturing Director,2,4941,6,3,7,No
179,51,Male,Single,Research & Development,Manufacturing Director,3,10650,8,4,18,Yes
182,39,Female,Married,Sales,Sales Executive,2,5902,4,15,17,No
183,25,Male,Married,Sales,Sales Executive,2,8639,28,2,6,No
184,30,Male,Married,Human Resources,Human Resources,2,6347,9,11,12,No
190,32,Female,Single,Research & Development,Laboratory Technician,1,4200,9,5,10,Yes
192,45,Male,Single,Research & Development,Research Scientist,1,3452,29,6,9,No
193,38,Female,Single,Research & Development,Research Scientist,2,4317,3,3,19,No
194,30,Female,Single,Research & Development,Research Scientist,1,2632,18,5,5,No
195,32,Male,Divorced,Sales,Sales Executive,2,4668,9,8,9,No
197,30,Female,Divorced,Research & Development,Research Scientist,1,3204,5,3,8,No
198,30,Male,Single,Research & Development,Laboratory Technician,1,2720,2,5,6,No
199,41,Male,Divorced,Research & Development,Manager,4,17181,10,7,21,No
200,41,Male,Married,Research & Development,Laboratory Technician,1,2238,9,5,7,No
201,19,Female,Single,Research & Development,Laboratory Technician,1,1483,3,1,1,No
202,40,Female,Divorced,Research & Development,Research Scientist,2,5605,26,20,20,No
204,35,Male,Married,Sales,Sales Executive,3,7295,1,10,10,No
205,53,Male,Married,Sales,Sales Representative,2,2306,6,7,13,No
206,45,Male,Divorced,Research & Development,Laboratory Technician,2,2348,9,17,20,No
207,32,Female,Single,Sales,Sales Executive,3,8998,8,9,9,No
208,29,Male,Married,Research & Development,Manufacturing Director,2,4319,1,10,10,No
211,51,Male,Married,Research & Development,Manufacturing Director,2,6132,7,1,10,No
214,58,Female,Married,Research & Development,Research Scientist,1,3346,9,1,9,No
215,40,Male,Married,Sales,Sales Executive,3,10855,4,12,15,No
216,34,Female,Married,Sales,Sales Representative,1,2231,2,4,6,No
217,22,Male,Married,Research & Development,Research Scientist,1,2323,19,2,2,No
218,27,Male,Divorced,Research & Development,Research Scientist,1,2024,9,2,6,No
221,28,Male,Married,Research & Development,Research Scientist,1,2713,21,5,5,No
223,57,Male,Divorced,Research & Development,Healthcare Representative,3,9439,24,5,12,No
224,27,Male,Divorced,Research & Development,Research Scientist,1,2566,3,1,1,No
226,50,Female,Single,Research & Development,Manager,5,19926,11,5,21,No
227,41,Male,Divorced,Research & Development,Research Scientist,1,2451,14,9,13,No
228,30,Female,Married,Sales,Sales Executive,3,9419,5,10,12,No
230,38,Female,Single,Sales,Sales Executive,2,8686,1,8,12,No
231,32,Male,Single,Research & Development,Research Scientist,1,3038,6,5,8,No
233,27,Male,Married,Research & Development,Research Scientist,1,3058,17,5,6,No
235,19,Female,Single,Sales,Sales Representative,1,2325,1,0,1,Yes
238,36,Male,Single,Research & Development,Laboratory Technician,1,2088,3,8,13,No
239,30,Male,Divorced,Research & Development,Laboratory Technician,2,3072,9,12,12,No
240,45,Female,Divorced,Sales,Sales Executive,2,5006,4,5,9,No
241,56,Female,Divorced,Research & Development,Research Scientist,1,4257,8,2,19,No
242,33,Male,Single,Research & Development,Research Scientist,1,2500,2,3,4,No
243,19,Male,Single,Research & Development,Laboratory Technician,1,1102,2,1,1,Yes
244,46,Female,Divorced,Sales,Sales Executive,3,10453,1,24,24,No
245,38,Female,Single,Research & Development,Laboratory Technician,1,2288,9,2,2,No
246,31,Female,Married,Research & Development,Research Scientist,1,3929,12,4,7,No
247,34,Female,Single,Research & Development,Research Scientist,1,2311,27,3,9,No
248,41,Female,Single,Sales,Sales Representative,1,3140,20,4,4,Yes
249,50,Male,Married,Research & Development,Laboratory Technician,1,3690,1,3,5,No
250,53,Female,Divorced,Research & Development,Manufacturing Director,2,4450,13,4,5,No
252,33,Female,Married,Research & Development,Research Scientist,1,2756,14,8,8,No
253,40,Female,Married,Research & Development,Manager,5,19033,4,20,21,No
254,55,Male,Single,Research & Development,Research Director,5,18722,14,24,36,No
256,34,Male,Married,Research & Development,Manufacturing Director,2,9547,2,10,10,No
258,51,Female,Single,Research & Development,Healthcare Representative,4,13734,3,7,21,No
259,52,Male,Married,Research & Development,Manager,5,19999,1,33,34,No
260,27,Female,Single,Research & Development,Research Scientist,1,2279,9,7,7,No
261,35,Male,Married,Research & Development,Manufacturing Director,2,5916,23,1,8,Yes
262,43,Male,Divorced,Research & Development,Research Scientist,1,2089,7,5,7,No
264,45,Male,Married,Research & Development,Manager,4,16792,2,20,22,No
267,37,Male,Married,Research & Development,Research Scientist,1,3564,21,8,8,No
269,35,Female,Single,Research & Development,Laboratory Technician,2,4425,2,6,10,No
270,42,Female,Divorced,Research & Development,Manufacturing Director,2,5265,21,5,11,No
271,38,Male,Married,Research & Development,Manufacturing Director,2,6553,2,1,14,No
273,38,Male,Married,Research & Development,Manufacturing Director,2,6261,29,7,9,No
274,27,Male,Married,Research & Development,Manufacturing Director,2,4298,1,2,6,No
275,49,Male,Divorced,Research & Development,Manufacturing Director,2,6804,18,7,7,No
277,34,Male,Divorced,Research & Development,Research Scientist,1,3815,10,5,5,No
281,40,Male,Married,Research & Development,Laboratory Technician,2,2741,19,7,15,No
282,38,Male,Married,Research & Development,Healthcare Representative,2,6673,29,1,17,Yes
283,29,Female,Married,Sales,Sales Executive,3,7639,27,10,10,Yes
284,22,Male,Divorced,Research & Development,Research Scientist,1,2328,5,4,4,No
286,36,Female,Single,Research & Development,Laboratory Technician,1,2153,18,8,8,No
287,40,Male,Married,Research & Development,Healthcare Representative,2,4876,9,3,5,No
288,46,Male,Divorced,Research & Development,Healthcare Representative,3,9396,1,4,17,No
291,32,Male,Married,Sales,Sales Executive,3,10400,4,14,14,Yes
292,30,Male,Single,Research & Development,Manufacturing Director,3,8474,1,11,12,No
293,27,Female,Single,Sales,Sales Executive,2,9981,20,7,7,No
296,51,Male,Married,Research & Development,Research Director,3,12490,8,10,16,No
297,30,Female,Single,Research & Development,Research Scientist,1,2657,3,5,8,Yes
298,41,Female,Single,Sales,Manager,3,13591,6,1,16,No
299,30,Female,Single,Sales,Sales Executive,2,6696,26,6,9,Yes
300,29,Male,Single,Research & Development,Research Scientist,1,2058,1,6,7,Yes
302,45,Female,Single,Sales,Sales Executive,3,8865,6,19,23,No
303,54,Female,Married,Sales,Sales Executive,2,5940,3,6,16,No
304,36,Male,Single,Research & Development,Laboratory Technician,2,5914,5,13,16,No
305,33,Female,Married,Research & Development,Research Scientist,1,2622,4,3,7,No
306,37,Male,Divorced,Research & Development,Research Director,3,12185,11,10,10,No
307,38,Male,Divorced,Sales,Sales Executive,3,10609,3,16,17,No
308,31,Male,Married,Research & Development,Manufacturing Director,2,4345,1,5,6,No
309,59,Male,Married,Research & Development,Research Scientist,1,2177,3,1,7,No
311,37,Male,Divorced,Sales,Sales Representative,1,2793,4,9,13,No
312,29,Female,Married,Sales,Sales Executive,3,7918,1,11,11,No
314,35,Female,Single,Sales,Sales Executive,3,8789,1,10,10,No
315,29,Male,Single,Research & Development,Research Scientist,1,2389,18,4,4,Yes
316,52,Female,Single,Research & Development,Laboratory Technician,1,3212,2,2,6,No
319,42,Male,Married,Research & Development,Manager,5,19232,4,22,22,No
321,59,Male,Married,Human Resources,Human Resources,1,2267,6,2,7,No
323,50,Female,Divorced,Sales,Manager,5,19517,1,7,32,No
325,33,Male,Married,Research & Development,Laboratory Technician,1,2436,14,5,8,Yes
327,43,Female,Married,Sales,Manager,4,16064,16,17,22,No
328,33,Female,Married,Research & Development,Laboratory Technician,1,2707,2,9,13,Yes
329,52,Male,Single,Sales,Manager,5,19068,2,33,33,No
330,32,Female,Married,Sales,Sales Representative,1,3931,4,4,6,No
331,32,Male,Single,Research & Development,Laboratory Technician,1,3730,1,3,4,Yes
332,39,Female,Divorced,Research & Development,Laboratory Technician,1,2232,1,3,7,No
333,32,Male,Married,Sales,Sales Executive,2,4465,26,3,4,No
334,41,Male,Divorced,Research & Development,Research Scientist,2,3072,19,1,17,No
335,40,Male,Divorced,Research & Development,Research Scientist,2,3319,24,9,9,No
336,45,Male,Married,Research & Development,Manager,5,19202,1,24,25,No
337,31,Male,Divorced,Research & Development,Research Director,3,13675,3,2,9,No
338,33,Female,Married,Research & Development,Research Scientist,1,2911,5,2,2,No
339,34,Male,Married,Research & Development,Manufacturing Director,2,5957,2,11,13,No
340,37,Female,Married,Research & Development,Research Scientist,1,3920,1,3,17,No
341,45,Male,Married,Research & Development,Manufacturing Director,2,6434,7,3,9,No
342,37,Male,Divorced,Research & Development,Manufacturing Director,3,10048,10,1,17,Yes
343,39,Female,Single,Research & Development,Healthcare Representative,3,10938,2,19,20,No
346,29,Male,Single,Research & Development,Research Scientist,1,2340,15,6,6,No
347,42,Female,Single,Research & Development,Research Scientist,2,6545,17,3,10,No
349,29,Male,Divorced,Sales,Sales Executive,2,6931,20,3,10,No
350,25,Female,Married,Research & Development,Manufacturing Director,2,4898,1,4,5,No
351,42,Female,Divorced,Research & Development,Laboratory Technician,1,2593,2,9,10,No
352,40,Male,Divorced,Research & Development,Research Director,5,19436,2,21,22,No
353,51,Male,Married,Research & Development,Research Scientist,1,2723,1,1,1,No
355,31,Male,Single,Research & Development,Laboratory Technician,1,3479,29,5,6,Yes
359,32,Male,Married,Research & Development,Laboratory Technician,1,2794,7,5,5,No
361,38,Male,Married,Sales,Sales Executive,2,5249,2,8,13,No
362,32,Male,Single,Research & Development,Laboratory Technician,2,2176,2,6,9,No
363,46,Female,Married,Sales,Manager,4,16872,2,7,28,No
364,28,Male,Single,Research & Development,Laboratory Technician,1,3485,2,0,5,Yes
366,29,Male,Married,Sales,Sales Executive,2,6644,2,0,10,No
367,31,Male,Married,Research & Development,Healthcare Representative,2,5582,23,9,10,No
369,25,Male,Divorced,Research & Development,Healthcare Representative,2,4000,5,6,6,No
372,45,Male,Married,Research & Development,Healthcare Representative,4,13496,20,20,21,No
373,36,Male,Married,Research & Development,Laboratory Technician,1,3210,6,15,16,No
374,55,Male,Single,Research & Development,Manager,5,19045,1,36,37,No
376,47,Male,Married,Research & Development,Manager,3,11849,29,10,10,Yes
377,28,Male,Married,Research & Development,Research Scientist,1,2070,9,5,5,No
378,37,Male,Married,Sales,Sales Executive,2,6502,6,5,7,No
379,21,Male,Single,Research & Development,Research Scientist,1,3230,3,3,3,No
380,37,Female,Divorced,Research & Development,Research Director,3,13603,1,5,15,No
381,35,Female,Divorced,Research & Development,Manager,3,11996,22,7,10,No
382,38,Female,Divorced,Sales,Sales Executive,2,5605,7,8,8,No
384,26,Female,Divorced,Research & Development,Manufacturing Director,2,6397,1,6,6,No
385,50,Male,Divorced,Research & Development,Research Director,5,19144,4,10,28,No
386,53,Male,Married,Research & Development,Research Director,4,17584,3,5,21,No
387,42,Male,Married,Sales,Sales Executive,2,4907,1,20,20,No
388,29,Male,Single,Sales,Sales Executive,2,4554,2,10,10,No
389,55,Male,Married,Research & Development,Laboratory Technician,2,5415,20,10,12,No
390,26,Male,Married,Research & Development,Healthcare Representative,2,4741,11,5,5,No
391,37,Female,Single,Research & Development,Research Scientist,1,2115,1,17,17,No
392,44,Male,Divorced,Research & Development,Laboratory Technician,1,3161,24,1,19,Yes
393,38,Male,Divorced,Research & Development,Healthcare Representative,2,5745,23,2,10,No
394,26,Male,Divorced,Research & Development,Laboratory Technician,1,2373,16,3,5,Yes
395,28,Female,Single,Research & Development,Research Scientist,1,3310,8,5,5,No
396,49,Female,Single,Research & Development,Research Director,5,18665,10,3,22,No
397,36,Male,Single,Research & Development,Research Scientist,2,4485,3,8,10,No
399,31,Female,Divorced,Sales,Sales Representative,1,2789,5,2,2,No
401,26,Male,Single,Sales,Sales Executive,2,5828,4,8,8,Yes
403,37,Male,Married,Research & Development,Research Scientist,1,2326,9,4,4,No
404,42,Female,Married,Sales,Sales Executive,4,13525,26,20,23,No
405,18,Male,Single,Research & Development,Laboratory Technician,1,1420,3,0,0,Yes
406,35,Male,Married,Sales,Sales Executive,3,8020,16,11,12,No
407,36,Male,Married,Research & Development,Laboratory Technician,1,3688,18,1,4,No
408,51,Male,Divorced,Research & Development,Manufacturing Director,2,5482,2,4,13,No
410,41,Male,Single,Sales,Manager,4,16015,2,22,22,No
411,18,Female,Single,Sales,Sales Representative,1,1200,10,0,0,No
412,28,Male,Single,Research & Development,Healthcare Representative,2,5661,16,8,9,No
416,31,Male,Married,Sales,Sales Executive,2,6929,7,8,10,No
417,39,Male,Divorced,Research & Development,Healthcare Representative,3,9613,1,18,19,No
419,36,Female,Married,Research & Development,Laboratory Technician,2,5674,24,9,11,No
420,32,Male,Married,Sales,Sales Executive,2,5484,7,13,13,No
421,38,Female,Married,Research & Development,Research Director,3,12061,25,10,19,No
422,58,Male,Divorced,Research & Development,Healthcare Representative,2,5660,1,5,12,No
423,31,Male,Married,Research & Development,Research Scientist,1,4821,5,5,6,No
424,31,Male,Married,Human Resources,Human Resources,2,6410,2,2,9,No
425,45,Male,Divorced,Research & Development,Laboratory Technician,3,5210,7,24,24,No
426,31,Male,Divorced,Research & Development,Research Scientist,1,2695,2,2,3,No
428,33,Female,Married,Research & Development,Manager,3,11878,5,10,12,No
429,39,Male,Married,Research & Development,Manager,4,17068,10,21,21,No
430,43,Female,Single,Research & Development,Laboratory Technician,1,2455,10,8,9,No
431,49,Female,Single,Research & Development,Healthcare Representative,4,13964,1,7,25,No
433,52,Male,Married,Research & Development,Research Scientist,2,4941,8,8,11,Yes
434,27,Female,Single,Research & Development,Research Scientist,1,2478,5,4,4,No
436,32,Female,Married,Sales,Sales Executive,2,5228,8,13,13,No
437,27,Male,Single,Sales,Sales Executive,2,4478,2,5,5,No
438,31,Male,Divorced,Sales,Sales Executive,2,7547,7,7,13,No
439,32,Female,Single,Research & Development,Research Scientist,2,5055,2,7,10,No
440,28,Male,Married,Research & Development,Research Scientist,1,3464,2,3,5,Yes
441,30,Female,Married,Research & Development,Research Scientist,2,5775,28,10,11,No
442,31,Female,Married,Research & Development,Manufacturing Director,3,8943,7,10,10,No
444,39,Male,Married,Research & Development,Manager,5,19272,7,21,21,No
445,39,Female,Married,Sales,Sales Executive,2,5238,3,1,12,Yes
446,33,Male,Single,Sales,Sales Executive,2,4682,10,7,9,No
447,47,Male,Married,Research & Development,Research Director,5,18300,5,3,21,No
448,43,Female,Divorced,Research & Development,Laboratory Technician,2,5257,10,9,9,No
449,27,Male,Married,Sales,Sales Executive,2,6349,1,5,6,No
450,54,Female,Single,Research & Development,Research Scientist,2,4869,20,4,20,No
451,43,Female,Married,Research & Development,Healthcare Representative,3,9985,7,1,10,No
452,45,Male,Married,Research & Development,Research Scientist,2,3697,8,10,12,No
453,40,Male,Married,Sales,Sales Executive,2,7457,1,4,6,No
454,29,Male,Married,Research & Development,Laboratory Technician,1,2119,8,7,7,Yes
455,29,Male,Single,Research & Development,Laboratory Technician,1,3983,9,3,4,No
456,30,Female,Divorced,Sales,Sales Executive,2,6118,5,10,10,No
458,27,Female,Married,Sales,Sales Executive,2,6214,8,8,8,No
460,37,Male,Divorced,Research & Development,Manufacturing Director,2,6347,5,6,8,No
461,38,Male,Divorced,Research & Development,Research Director,3,11510,15,11,12,No
462,31,Female,Single,Research & Development,Manufacturing Director,3,7143,7,11,11,No
463,29,Female,Divorced,Sales,Sales Executive,2,8268,10,7,7,No
464,35,Male,Single,Research & Development,Manufacturing Director,3,8095,5,16,17,No
465,23,Male,Divorced,Research & Development,Research Scientist,1,2904,26,4,4,No
466,41,Male,Single,Research & Development,Manufacturing Director,2,6032,6,5,8,No
467,47,Male,Single,Sales,Sales Representative,2,2976,4,0,5,No
468,42,Female,Single,Research & Development,Research Director,4,15992,23,1,16,No
469,29,Male,Married,Sales,Sales Executive,2,4649,2,4,4,No
470,42,Male,Divorced,Human Resources,Human Resources,1,2696,2,3,4,No
471,32,Female,Married,Research & Development,Laboratory Technician,1,2370,2,8,8,No
473,48,Female,Married,Sales,Manager,3,12504,29,0,15,No
474,37,Male,Divorced,Research & Development,Research Scientist,2,5974,6,7,13,No
475,30,Female,Married,Sales,Sales Executive,2,4736,25,2,4,No
476,26,Male,Married,Sales,Sales Executive,2,5296,1,8,8,No
477,42,Male,Single,Research & Development,Healthcare Representative,2,6781,2,1,14,No
478,21,Female,Single,Sales,Sales Representative,1,2174,1,3,3,Yes
479,36,Female,Single,Sales,Sales Executive,2,6653,1,1,7,No
481,36,Male,Married,Sales,Sales Executive,3,9699,3,13,16,No
482,57,Male,Married,Research & Development,Healthcare Representative,2,6755,1,3,15,No
483,40,Female,Married,Research & Development,Laboratory Technician,1,2213,10,7,10,No
484,21,Male,Single,Sales,Sales Representative,1,2610,9,3,3,No
485,33,Female,Single,Sales,Sales Representative,1,2851,5,1,1,Yes
486,37,Female,Married,Research & Development,Laboratory Technician,1,3452,10,5,17,No
487,46,Female,Married,Research & Development,Manufacturing Director,2,5258,7,1,7,No
488,41,Male,Single,Sales,Sales Executive,2,9355,4,8,8,Yes
491,50,Male,Single,Research & Development,Healthcare Representative,3,10496,10,4,20,No
492,40,Male,Married,Sales,Sales Executive,2,6380,22,6,8,Yes
493,31,Male,Single,Research & Development,Research Scientist,1,2657,9,2,3,No
494,21,Female,Single,Sales,Sales Representative,1,2716,12,1,1,Yes
495,29,Male,Single,Research & Development,Research Scientist,1,2201,23,3,6,No
496,35,Male,Single,Research & Development,Healthcare Representative,2,6540,9,1,10,No
497,27,Male,Divorced,Research & Development,Laboratory Technician,1,3816,1,5,5,No
498,28,Male,Single,Sales,Sales Executive,2,5253,9,7,7,No
499,49,Male,Single,Research & Development,Healthcare Representative,3,10965,7,5,26,No
500,51,Female,Married,Sales,Sales Executive,2,4936,14,7,18,No
501,36,Female,Married,Research & Development,Research Scientist,1,2543,2,2,6,No
