EmployeeNumber,PerformanceRating,OverTime,JobInvolvement,TrainingTimesLastYear,PercentSalaryHike
194,3,No,3,4,14
195,3,No,1,2,17
197,3,No,3,3,14
198,3,No,2,3,13
199,3,No,2,2,13
200,4,No,3,2,21
201,3,No,3,3,14
202,3,No,3,2,11
204,3,No,3,3,13
205,4,Yes,3,3,20
206,3,No,3,2,18
207,3,No,3,2,14
208,3,No,3,1,13
211,3,No,2,2,17
214,4,Yes,2,3,20
215,3,No,2,2,11
216,3,No,3,3,18
217,4,No,3,6,24
218,3,No,3,1,18
221,3,No,3,2,11
223,3,Yes,4,2,16
224,3,Yes,2,2,15
226,3,No,3,5,15
227,3,No,3,2,12
228,3,No,3,2,12
230,4,No,2,2,22
231,4,No,3,2,20
233,3,Yes,3,3,16
235,4,No,1,5,21
238,3,No,3,3,12
239,3,No,3,4,11
240,3,Yes,3,3,11
241,3,Yes,3,3,18
242,3,No,3,2,14
243,4,No,2,3,22
244,4,No,3,2,25
245,3,No,3,3,12
246,4,Yes,3,0,23
247,3,No,3,3,15
248,4,Yes,3,5,22
249,3,No,2,2,15
250,3,No,4,3,11
252,3,No,3,5,13
253,3,No,3,2,14
254,3,No,4,3,11
256,3,No,2,2,17
258,3,No,3,6,18
259,3,No,2,5,14
260,3,No,3,2,16
261,3,Yes,2,1,13
262,3,No,4,3,14
264,4,No,2,1,23
267,3,Yes,4,3,12
269,3,No,3,5,11
270,3,No,3,5,16
271,3,No,3,3,14
273,3,No,3,3,18
274,3,No,2,1,19
275,3,Yes,3,0,15
277,3,Yes,3,4,17
281,3,Yes,3,2,15
282,3,Yes,3,2,19
283,4,No,3,3,22
284,3,Yes,4,2,16
286,3,No,3,2,13
287,3,No,2,5,14
288,3,No,3,3,16
291,3,No,1,2,11
292,4,No,2,2,22
293,3,No,3,2,14
296,3,No,2,5,16
297,3,Yes,3,5,11
298,3,Yes,3,3,18
299,3,No,2,5,15
300,3,No,3,1,14
302,3,No,2,2,12
303,3,No,3,4,14
304,3,No,3,3,16
305,4,No,2,3,21
306,3,Yes,3,1,14
307,3,No,3,6,12
308,3,No,1,2,12
309,3,No,2,6,17
311,3,No,3,2,17
312,3,No,3,5,14
314,3,No,3,3,14
315,3,Yes,2,3,13
316,3,No,2,3,15
319,3,No,3,3,11
321,3,No,3,2,17
323,3,No,3,3,11
325,3,Yes,3,2,13
327,4,Yes,3,3,22
328,4,No,3,3,20
329,3,Yes,2,2,18
330,3,No,3,5,11
331,3,Yes,2,2,14
332,3,No,3,1,14
333,3,No,3,2,18
334,3,No,3,2,16
335,3,No,3,3,17
336,3,No,4,2,11
337,3,No,3,3,12
338,3,No,2,2,13
339,3,No,2,3,13
340,3,No,2,2,14
341,3,No,4,1,17
342,3,No,3,5,11
343,4,No,3,1,25
346,3,No,3,1,19
347,3,Yes,4,1,13
349,3,No,3,2,14
350,3,No,3,3,12
351,3,Yes,2,4,11
352,3,No,3,5,19
353,3,No,3,0,11
355,3,No,2,2,11
359,4,No,4,3,20
361,3,No,2,0,18
362,3,No,2,5,13
363,3,Yes,1,2,12
364,3,No,3,5,11
366,3,No,2,2,19
367,4,No,2,2,21
369,3,No,4,2,12
372,3,Yes,3,2,14
373,3,No,3,4,11
374,3,Yes,3,2,14
376,3,Yes,3,2,12
377,4,No,3,3,23
378,3,No,3,5,14
379,3,No,2,4,17
380,3,Yes,3,2,18
381,3,No,4,6,18
382,4,Yes,4,3,24
384,4,No,3,6,20
385,3,No,3,4,14
386,3,Yes,3,5,16
387,4,No,3,3,25
388,3,No,3,3,18
389,3,Yes,3,4,19
390,3,Yes,3,3,13
391,3,No,3,3,12
392,4,Yes,3,0,22
393,3,No,3,2,14
394,3,Yes,3,2,13
395,4,No,3,3,21
396,3,Yes,3,4,11
397,3,No,3,2,12
399,3,No,3,5,11
401,3,Yes,2,0,12
403,3,Yes,3,3,12
404,3,No,3,2,14
405,3,No,3,2,13
406,3,No,3,3,15
407,3,No,4,2,18
408,3,No,1,3,18
410,3,No,3,2,19
411,3,No,2,2,12
412,3,No,4,2,19
416,3,No,4,3,11
417,3,No,4,5,17
419,3,No,3,3,15
420,3,No,2,3,14
421,3,No,2,2,17
422,3,Yes,1,2,13
423,3,Yes,3,4,12
424,3,No,2,1,12
425,3,No,3,2,18
426,3,Yes,3,2,18
428,3,No,3,2,11
429,3,Yes,3,3,14
430,3,No,3,5,19
431,3,Yes,2,2,12
433,3,No,2,3,15
434,3,Yes,3,2,12
436,3,Yes,2,2,11
437,3,Yes,3,3,11
438,3,No,3,3,12
439,3,No,4,0,16
440,3,Yes,1,4,13
441,3,No,3,2,13
442,4,No,2,2,24
444,3,No,2,2,15
445,3,Yes,3,3,18
446,3,No,2,6,14
447,3,No,3,2,11
448,3,No,2,3,11
449,3,Yes,3,0,13
450,3,No,3,4,12
451,3,No,3,1,16
452,3,No,3,3,14
453,4,Yes,1,2,22
454,3,Yes,1,4,11
455,3,No,2,2,17
456,3,No,2,2,13
458,3,No,3,3,18
460,3,No,3,2,16
461,3,Yes,2,3,14
462,3,Yes,3,2,14
463,3,Yes,2,2,14
464,3,No,3,5,13
465,3,No,3,2,12
466,3,Yes,2,3,15
467,3,No,3,3,19
468,3,No,3,2,14
469,3,No,3,3,14
470,3,Yes,3,5,11
471,3,No,3,4,13
473,4,No,3,3,21
474,3,Yes,4,2,13
475,3,Yes,3,2,12
476,3,No,3,3,17
477,4,No,2,6,23
478,3,Yes,2,3,11
479,3,No,3,6,15
481,3,No,2,2,11
482,3,No,3,2,11
483,3,Yes,4,3,13
484,4,No,3,3,24
485,3,Yes,3,2,13
486,4,No,3,3,20
487,3,No,3,2,14
488,3,No,3,5,18
491,3,No,2,2,15
492,3,Yes,2,6,12
493,3,Yes,2,5,16
494,3,No,4,0,15
495,3,No,3,4,16
496,3,No,2,5,19
497,3,No,3,2,11
498,3,No,3,1,16
499,4,No,2,2,24
500,3,No,3,2,11
501,3,No,3,3,13
502,3,Yes,4,3,13
505,3,Yes,3,2,13
507,3,Yes,3,2,12
508,3,No,3,3,18
510,4,No,3,2,22
511,3,No,3,1,13
513,3,No,2,2,13
514,4,Yes,3,4,23
515,3,No,3,2,12
516,3,No,3,5,12
517,3,No,3,5,16
518,3,Yes,3,2,12
520,3,No,2,3,11
521,4,No,2,3,22
522,3,No,3,4,11
523,3,No,3,3,15
524,3,No,3,5,12
525,4,No,3,1,20
526,3,Yes,3,3,14
527,3,Yes,2,3,11
529,3,Yes,3,2,15
530,3,No,2,3,12
531,3,Yes,3,3,14
532,3,No,4,0,11
533,3,No,3,6,11
534,3,No,4,2,16
536,3,No,3,2,12
538,3,No,3,5,13
543,3,Yes,2,4,14
544,4,No,3,3,21
546,3,No,3,2,13
547,3,No,3,3,11
548,4,No,1,2,20
549,3,No,3,5,11
550,3,No,3,5,14
551,3,No,2,4,11
554,3,Yes,3,4,16
555,3,No,1,3,16
556,4,Yes,3,3,23
558,3,No,3,2,14
560,4,No,3,3,22
562,3,No,3,3,15
564,3,No,2,2,18
565,3,No,2,2,16
566,3,No,2,3,12
567,3,No,3,3,11
568,3,No,2,3,12
569,3,No,2,2,15
571,3,No,3,2,14
573,3,No,2,5,19
574,3,No,3,2,13
575,3,No,3,2,13
577,3,No,1,2,15
578,3,No,3,3,11
579,3,No,2,3,12
580,3,Yes,2,3,19
581,4,No,3,6,25
582,3,Yes,3,2,12
584,3,No,1,2,13
585,3,No,3,3,14
586,3,Yes,3,2,12
587,3,No,3,2,12
590,3,Yes,3,2,15
591,3,No,3,4,17
592,3,No,3,3,14
593,3,No,2,3,16
595,3,No,3,2,14
597,4,No,3,2,23
599,3,No,3,3,14
600,3,No,3,2,11
601,3,No,3,3,15
602,3,No,3,3,11
604,3,Yes,3,2,13
605,4,Yes,3,5,21
606,3,No,3,3,19
608,3,Yes,3,2,11
611,3,No,3,2,12
612,3,No,4,2,19
613,4,No,2,3,21
614,3,Yes,3,3,14
615,3,No,1,2,15
616,3,Yes,2,3,17
618,3,No,3,5,12
620,3,No,3,3,16
621,3,No,4,3,12
622,3,Yes,1,3,18
623,3,No,3,3,17
624,3,No,3,3,11
625,3,No,3,2,16
626,3,No,3,6,13
630,3,Yes,3,3,12
631,3,No,4,2,12
632,3,No,3,3,13
634,3,No,3,4,19
635,3,No,3,2,12
638,3,Yes,2,5,17
639,3,Yes,4,3,11
641,4,No,3,5,20
643,4,No,2,2,21
644,3,No,3,2,11
645,3,No,3,1,11
647,3,Yes,3,4,16
648,3,No,2,2,18
649,3,Yes,2,3,13
650,3,No,3,2,17
652,3,No,2,3,14
653,4,No,4,4,22
655,3,No,2,5,12
656,3,Yes,3,3,11
657,3,No,2,0,13
659,3,No,3,4,13
661,3,Yes,2,3,14
662,3,No,3,3,17
663,3,Yes,3,3,13
664,3,No,2,3,11
665,3,No,2,1,11
666,3,Yes,3,3,18
667,3,No,3,3,11
669,3,No,3,2,11
671,3,Yes,3,2,12
675,4,No,3,3,20
677,3,No,3,3,12
679,3,Yes,3,2,12
680,4,No,3,2,20
682,4,No,3,2,20
683,3,No,3,4,12
684,3,No,3,4,14
686,3,Yes,3,2,13
689,3,No,3,2,15
690,3,No,3,5,14
691,3,No,1,3,13
692,4,No,3,2,23
698,3,No,3,1,15
699,3,Yes,2,2,11
700,3,No,2,0,13
701,3,Yes,3,5,11
702,3,Yes,3,3,11
704,3,No,2,3,18
705,3,No,4,3,16
707,4,No,4,4,22
709,4,No,2,2,20
710,3,No,1,5,18
712,3,No,4,3,12
714,4,Yes,4,3,20
715,3,No,4,2,17
716,3,Yes,4,3,11
717,3,No,2,3,14
720,3,No,3,3,14
721,3,No,2,4,11
722,3,No,3,2,12
723,3,Yes,3,4,14
724,3,No,4,4,13
725,3,No,3,3,11
727,3,No,3,6,15
728,3,No,3,2,12
729,4,Yes,2,2,21
730,3,No,4,3,19
731,3,No,2,2,15
732,3,No,3,1,14
733,4,No,3,4,21
734,3,No,2,3,12
738,3,No,3,2,15
741,3,Yes,1,4,13
742,3,No,4,2,14
743,3,Yes,3,4,14
744,3,No,1,5,14
746,3,Yes,3,2,12
747,4,No,3,2,23
749,3,No,3,6,11
752,3,Yes,4,2,12
754,3,No,2,5,18
757,3,No,3,2,11
758,3,No,3,2,14
760,3,No,4,3,15
762,3,No,3,1,11
763,4,Yes,2,2,20
764,3,No,2,2,19
766,3,No,3,2,14
769,3,No,3,4,17
771,3,No,3,2,11
772,3,No,3,2,15
773,3,Yes,3,0,13
775,3,No,3,3,14
776,3,No,2,3,11
780,3,Yes,3,2,13
781,4,No,3,5,23
783,3,No,1,3,13
784,3,No,4,3,18
785,3,Yes,4,2,12
786,4,No,3,5,22
787,3,Yes,3,2,13
789,3,No,2,1,15
791,3,No,3,3,18
792,3,No,1,2,14
793,3,No,3,3,12
796,3,No,2,2,17
797,3,No,4,2,16
799,3,Yes,3,4,11
800,3,No,3,3,19
802,3,Yes,3,3,13
803,3,Yes,4,2,12
804,3,No,2,3,11
805,3,No,3,1,16
806,4,No,1,2,21
807,4,No,4,2,24
808,3,No,3,1,17
809,3,No,3,4,13
811,4,Yes,4,2,21
812,3,No,2,4,11
813,4,No,3,3,20
815,3,No,3,3,16
816,3,Yes,2,1,11
817,3,No,3,3,11
819,3,No,3,3,15
820,3,Yes,3,3,11
823,3,No,3,2,15
824,4,No,4,3,24
825,3,Yes,3,2,12
826,3,No,4,0,13
827,3,Yes,2,4,13
828,3,No,3,3,17
829,3,No,3,2,13
830,3,No,2,3,12
832,3,No,2,6,14
833,4,Yes,2,4,24
834,3,No,2,3,14
836,3,No,3,3,13
837,3,No,2,3,15
838,3,No,2,3,16
840,3,No,3,3,18
842,3,No,3,3,16
843,4,No,3,3,24
844,3,Yes,2,3,16
845,4,No,3,3,21
846,4,Yes,3,2,20
847,3,No,3,1,19
848,3,Yes,2,2,14
850,3,No,3,6,11
851,3,No,3,2,14
852,3,No,3,2,12
854,3,No,4,3,13
855,4,No,4,5,22
856,3,No,2,3,11
857,3,Yes,3,1,14
859,3,No,3,3,11
861,3,No,2,3,12
862,3,Yes,2,3,18
864,3,Yes,3,2,12
865,3,No,4,3,12
867,4,No,2,3,22
868,3,No,2,2,19
869,3,No,2,6,13
872,4,No,2,2,22
874,4,Yes,4,2,24
875,3,Yes,3,2,14
878,4,No,2,3,21
879,3,Yes,3,3,18
880,4,Yes,2,2,20
881,3,Yes,3,3,19
882,3,No,3,2,12
885,3,No,2,1,12
887,3,No,3,2,16
888,3,No,2,2,17
889,3,No,3,3,14
893,3,No,2,3,19
894,3,Yes,4,1,13
895,3,Yes,3,2,19
896,3,Yes,2,3,19
897,3,No,3,3,14
899,3,No,2,2,16
900,3,No,3,3,15
901,3,No,3,0,18
902,3,No,3,2,13
903,4,Yes,3,2,22
904,3,Yes,3,2,13
905,3,No,3,3,11
909,3,No,2,2,11
910,3,Yes,3,4,11
911,4,Yes,3,2,24
912,3,No,2,5,14
913,3,Yes,3,0,13
916,3,No,3,3,14
918,3,Yes,2,3,14
920,4,No,3,2,21
922,3,No,2,3,13
923,3,No,3,3,19
924,3,Yes,3,2,17
925,3,Yes,2,3,18
926,3,Yes,3,3,19
927,3,Yes,1,1,13
930,3,No,3,2,18
932,4,Yes,3,2,21
933,3,No,3,2,19
934,3,No,3,3,14
936,3,No,2,6,17
939,3,Yes,2,1,11
940,3,Yes,2,3,13
941,3,No,2,2,15
942,4,Yes,3,2,25
944,3,No,3,3,11
945,3,No,3,2,17
947,3,No,3,2,13
949,3,No,3,6,18
950,3,No,3,3,13
951,4,No,2,3,20
952,3,Yes,2,2,18
954,3,No,2,2,12
956,3,No,2,2,12
957,3,Yes,3,3,13
958,4,No,3,6,21
959,3,Yes,2,3,13
960,3,No,3,2,19
961,3,Yes,3,2,11
964,3,Yes,3,2,14
966,3,No,3,2,12
967,3,Yes,2,6,11
969,3,No,2,3,14
970,3,No,2,2,11
972,3,No,3,5,12
974,3,No,3,5,15
975,3,No,3,3,16
976,3,No,3,2,15
977,4,No,3,4,24
981,3,No,3,3,13
982,3,No,3,2,11
983,3,Yes,3,1,13
984,3,No,3,2,13
985,3,No,4,3,18
986,3,Yes,4,2,16
987,3,Yes,4,3,19
990,3,No,3,3,13
991,4,Yes,2,0,22
992,3,No,3,2,11
994,4,Yes,2,5,20
995,3,No,3,4,18
996,3,No,3,2,14
997,4,No,3,1,22
998,3,Yes,4,2,13
999,3,No,3,2,17
1001,3,No,3,2,14
1002,3,Yes,3,2,15
1003,3,Yes,3,0,17
1004,3,Yes,3,2,11
1005,3,Yes,3,2,18
1006,3,No,3,0,17
1007,3,No,3,3,13
1009,3,No,2,6,15
1010,4,Yes,2,2,24
1011,3,No,3,1,12
1012,3,No,3,2,15
1013,3,No,3,2,11
1014,3,Yes,3,3,11
1015,3,Yes,4,4,12
1016,3,Yes,2,2,15
1017,3,No,3,3,17
1018,3,No,4,2,12
1019,3,No,1,3,15
1022,3,No,2,0,13
1024,3,No,2,3,14
1025,3,No,3,6,14
1026,3,No,2,3,16
1027,3,No,3,2,18
1028,4,No,3,4,20
1029,3,No,3,3,13
1030,3,No,3,5,18
1032,3,Yes,2,4,13
1033,3,No,1,2,15
1034,3,Yes,3,3,14
1035,4,No,1,3,22
1036,3,Yes,3,1,12
1037,3,No,1,6,18
1038,3,No,1,3,15
1039,3,Yes,4,2,18
1040,3,No,3,3,12
1042,3,No,4,1,16
1043,3,Yes,3,2,13
1044,3,No,2,2,19
1045,3,No,3,4,13
1046,3,No,3,2,12
1047,3,No,4,2,11
1048,3,Yes,3,1,14
1049,3,No,3,3,16
1050,3,No,2,2,12
1052,3,No,3,3,14
1053,3,Yes,3,2,14
1055,3,Yes,3,2,19
1056,4,No,3,5,22
1060,3,No,3,2,16
1061,3,Yes,3,2,11
1062,3,No,3,3,15
1066,3,No,3,3,14
1068,3,No,2,5,13
1069,3,No,3,0,17
1070,3,No,2,4,11
1071,3,No,3,4,19
1073,3,No,2,2,11
1074,3,No,2,3,15
1076,3,No,2,5,13
1077,3,Yes,3,3,14
1079,3,No,2,6,13
1080,4,Yes,2,2,23
1081,3,Yes,3,2,12
1082,3,No,2,2,12
1083,3,No,2,2,16
1084,3,No,3,1,15
1085,3,No,4,3,13
1088,3,No,2,4,18
1092,4,No,3,6,20
1094,3,No,1,4,19
1096,3,No,3,4,18
1097,3,No,3,4,13
1098,3,No,2,1,14
1099,3,No,2,2,15
1100,4,Yes,3,2,22
1101,4,No,2,4,22
1102,3,No,3,5,16
1103,3,No,3,1,17
1105,3,Yes,2,5,14
1106,3,Yes,3,3,15
1107,4,No,3,0,20
1108,4,Yes,2,0,20
1109,3,No,3,3,17
1111,3,No,2,2,15
1113,3,Yes,3,4,14
1114,3,No,3,3,17
1115,3,No,2,2,17
1116,4,No,4,3,22
1117,3,No,2,2,13
1118,3,No,3,4,19
1119,3,Yes,2,2,14
1120,4,No,3,1,22
1121,3,No,3,3,17
1124,3,No,3,3,12
1125,3,No,3,2,16
1126,3,No,3,1,11
1127,3,No,3,4,11
1128,3,No,2,2,14
1131,3,Yes,2,6,11
1132,3,No,3,2,15
1133,4,No,3,0,20
1135,3,No,4,4,12
1136,3,No,2,2,17
1137,3,No,3,3,11
1138,3,No,2,3,17
1140,3,No,3,3,11
1143,3,No,3,2,14
1148,3,No,1,3,19
1150,3,Yes,2,2,15
1152,3,No,4,2,13
1154,3,Yes,2,2,14
1156,3,No,3,0,12
1157,3,Yes,3,3,17
1158,3,Yes,3,4,11
1160,3,No,3,5,12
1161,3,No,2,2,13
1162,3,No,2,0,13
1163,4,No,3,3,20
1164,3,No,3,2,17
1165,3,No,2,3,13
1166,3,No,3,3,17
1167,3,Yes,3,2,12
1171,3,No,3,3,13
1172,3,No,2,2,12
1173,4,No,3,2,22
1175,3,Yes,3,4,11
1177,4,No,4,2,22
1179,3,No,2,3,18
1180,3,Yes,2,3,13
1182,3,No,2,2,18
1184,4,No,2,3,20
1185,3,No,2,2,13
1188,3,No,1,2,13
1190,3,No,3,3,12
1191,3,No,3,2,13
1192,3,No,3,5,13
1193,4,No,3,4,25
1195,3,Yes,3,2,19
1196,3,No,2,2,13
1198,3,No,2,2,12
1200,3,Yes,3,4,11
1201,3,No,3,6,18
1202,3,Yes,1,2,18
1203,3,Yes,2,5,11
1204,4,No,3,2,23
1206,3,No,1,3,13
1207,3,No,3,2,13
1210,3,No,2,2,17
1211,3,No,3,3,19
1212,3,No,3,2,12
1215,4,No,3,3,22
1216,3,No,2,2,12
1217,3,No,3,2,11
1218,3,Yes,3,2,15
1219,3,No,3,3,13
1220,3,No,3,3,12
1221,3,No,1,4,14
1224,3,No,3,4,13
1225,4,No,3,3,25
1226,3,No,4,2,17
1228,3,No,3,3,11
1231,3,No,4,3,16
1233,3,Yes,4,3,18
1234,4,No,2,2,20
1235,3,Yes,3,2,14
1237,4,Yes,1,2,21
1238,3,No,3,5,13
1239,3,No,2,2,12
1240,3,No,3,4,14
1241,4,Yes,3,2,21
1242,3,Yes,3,6,17
1243,3,Yes,2,6,11
1244,3,Yes,3,3,14
1245,3,No,3,2,17
1246,3,No,4,5,13
1248,4,Yes,2,2,25
1249,3,No,3,5,15
1250,3,No,3,2,14
1251,3,Yes,3,2,12
1252,3,No,2,2,19
1254,3,No,2,2,17
1255,3,No,1,2,14
1256,3,No,2,2,13
1257,3,No,3,2,12
1258,3,No,4,4,11
1259,3,No,3,2,11
1260,3,Yes,3,2,11
1263,3,No,2,3,12
1264,3,No,2,2,14
1265,3,No,4,5,17
1267,3,No,3,5,11
1268,3,Yes,4,3,14
1269,3,Yes,4,2,12
1270,4,No,3,2,22
1273,3,Yes,1,4,14
1275,4,Yes,3,2,20
1277,3,Yes,1,2,16
1278,3,Yes,2,3,15
1279,4,No,2,2,20
1280,3,No,2,2,14
1281,3,Yes,3,3,12
1282,4,Yes,3,5,24
1283,3,No,3,6,12
1285,3,No,3,2,13
1286,3,Yes,3,2,11
1288,3,No,4,4,14
1289,3,No,2,5,11
1291,3,Yes,3,3,14
1292,3,Yes,4,2,16
1293,3,No,2,3,14
1294,3,Yes,3,2,11
1295,3,No,3,2,11
1296,3,Yes,2,2,12
1297,3,No,2,6,14
1298,3,Yes,3,3,18
1299,3,Yes,3,2,13
1301,3,No,3,2,11
1303,3,No,3,3,18
1304,3,No,4,4,15
1306,4,No,3,4,22
1307,3,Yes,2,4,13
1308,3,No,3,3,12
1309,3,No,3,3,18
1310,3,No,3,2,13
1311,3,No,2,6,12
1312,3,No,3,0,12
1314,3,No,3,3,12
1315,3,No,1,6,11
1317,3,Yes,3,2,11
1318,3,Yes,2,2,12
1319,3,Yes,3,2,19
1321,4,Yes,3,2,23
1322,3,No,3,6,11
1324,3,Yes,3,5,19
1329,3,No,1,4,13
1331,3,Yes,3,2,11
1333,3,No,3,4,12
1334,3,Yes,3,3,13
1336,3,No,1,5,14
1338,3,No,3,4,14
1340,3,No,3,0,16
1344,3,No,3,0,11
1346,3,No,3,4,13
1349,3,No,3,2,17
1350,3,Yes,3,3,11
1352,3,Yes,3,2,11
1355,3,No,3,3,15
1356,3,No,3,6,12
1358,3,No,3,6,11
1360,3,Yes,2,0,14
1361,4,No,3,3,22
1362,3,No,4,2,16
1363,3,No,3,2,11
1364,3,No,4,4,14
1367,3,No,2,1,16
1368,3,No,3,5,15
1369,3,No,2,0,12
1371,4,No,1,3,20
1372,3,Yes,4,2,17
1373,3,Yes,3,0,12
1374,4,No,2,2,20
1375,4,No,4,0,20
1377,3,No,3,1,13
1379,3,No,2,3,14
1380,3,Yes,3,0,18
1382,3,No,4,2,11
1383,3,No,3,2,11
1387,3,No,2,0,11
1389,3,Yes,3,3,15
1390,3,Yes,2,2,12
1391,3,No,3,5,11
1392,3,Yes,3,4,14
1394,3,Yes,3,2,15
1395,3,No,3,2,13
1396,3,Yes,3,3,13
1397,4,No,3,2,21
1399,3,No,4,3,11
1401,3,Yes,4,3,11
1402,3,Yes,2,3,14
1403,3,Yes,2,3,11
1405,3,Yes,3,2,13
1407,3,No,2,2,12
1408,3,No,3,5,14
1409,3,No,3,2,13
1411,3,No,3,6,18
1412,3,No,3,2,11
1415,3,No,3,2,11
1417,3,No,4,2,12
1419,3,No,2,3,13
1420,4,No,2,2,20
1421,3,Yes,3,1,12
1422,3,No,3,3,19
1423,4,Yes,3,3,21
1424,3,No,4,4,13
1425,3,Yes,3,3,16
1427,3,No,1,3,12
1428,3,No,3,3,14
1430,3,No,3,3,11
1431,3,No,3,2,14
1433,3,No,2,3,12
1434,3,No,3,3,14
1435,3,No,2,2,16
1436,3,No,2,3,13
1438,3,No,3,2,12
1439,3,No,2,2,12
1440,3,No,4,2,14
1441,4,No,3,3,22
1443,3,No,3,2,19
1445,3,Yes,3,3,12
1446,3,No,3,3,12
1447,3,No,2,2,17
1448,3,Yes,4,5,12
1449,3,No,3,2,11
1453,3,No,3,5,18
1457,3,No,3,1,11
1458,4,Yes,2,2,23
1459,3,No,4,2,11
1460,3,Yes,1,2,18
1461,3,No,4,3,18
1464,3,Yes,3,2,13
1465,3,Yes,3,4,18
1466,3,No,3,3,11
1467,3,No,3,0,15
1468,3,No,2,5,11
1469,3,No,3,4,18
1471,3,No,2,5,14
1472,3,No,4,2,12
1473,3,No,3,0,14
1474,3,No,3,3,14
1475,3,No,3,3,13
1477,3,No,3,2,14
1478,3,No,1,2,18
1479,3,No,3,2,15
1480,3,No,3,3,13
1481,3,No,3,4,12
1482,3,No,3,2,13
1483,4,No,4,2,24
1484,3,No,3,3,14
1485,3,No,3,3,14
1486,3,No,3,3,15
1487,3,No,3,4,11
1489,4,Yes,2,2,23
1492,3,No,3,3,13
1494,3,Yes,3,2,11
1495,3,No,3,2,13
1496,3,Yes,3,2,18
1497,3,No,2,3,14
1499,4,No,3,3,21
1501,3,Yes,3,2,16
1502,3,No,2,5,11
1503,3,Yes,3,4,17
1504,3,No,2,2,11
1506,3,No,2,2,14
1507,3,No,3,5,14
1509,4,No,2,3,25
1513,3,No,3,3,13
1514,3,No,1,2,14
1515,3,Yes,3,6,17
